Establishment ID,Establishment Name,Establishment Type,Establishment Address
10657713,NEW KANTAMANTO MARKET,Food Depot,"266 EDDYSTONE AVE, Unit-0"
10752656,# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR
10805561,#DESI,Food Take Out,"65 FRONT ST W, Unit-442"
9008018,'K' STORE,Food Store (Convenience/Variety),99 CARLTON ST
10808575,BANNER CLUB KITCHEN (000L),Commissary,1 BLUE JAYS WAY
10510325,0109 Dessert + Chocolate,Restaurant,"2190 MCNICOLL AVE, -109"
10776009,1 HOTEL - HARRIET'S,Restaurant,550 WELLINGTON ST W
10776015,1 HOTEL TORONTO - 1 KITCHEN,Restaurant,550 WELLINGTON ST W
10776008,1 HOTEL TORONTO - CASA MADERA,Restaurant,550 WELLINGTON ST W
10776019,1 HOTEL TORONTO - FLORA LOUNGE,Restaurant,550 WELLINGTON ST W
10776019,1 HOTEL TORONTO - FLORA LOUNGE,Cocktail Bar / Beverage Room,550 WELLINGTON ST W
10776013,1 HOTEL TORONTO - MAIN PRODUCTION KITCHEN,Restaurant,550 WELLINGTON ST W
10776013,1 HOTEL TORONTO - MAIN PRODUCTION KITCHEN,Banquet Facility,550 WELLINGTON ST W
10776014,1 HOTEL TORONTO - STAFF CAFETERIA 'The Nest',Restaurant,550 WELLINGTON ST W
10776014,1 HOTEL TORONTO - STAFF CAFETERIA 'The Nest',Cafeteria - Private Access,550 WELLINGTON ST W
10500438,1 PLUS 1 PIZZA,Food Take Out,361 OAKWOOD AVE
10814320,1 ZERO 2 DELIGHTS,Food Take Out,102 FORT YORK BLVD
10556602,100% Korean,Food Take Out,4779 STEELES AVE E
10588973,100% SALVADORENO,Restaurant,612 TRETHEWEY DR
10356847,1000 VARIETY,Food Store (Convenience/Variety),1000 PAPE AVE
10808982,1001 XINJIANG CUISINE,Restaurant,"1883 MCNICOLL AVE, Unit-1-6"
10764483,10168734 CANADA INC.,Food Processing Plant,"50 WEYBRIGHT CRT, Unit-40"
10814160,108 - T.O FOOTLONG HOT DOGS,Food Take Out,1 BLUE JAYS WAY
10808571,109 PRODUCTION KITCHEN,Commissary,1 BLUE JAYS WAY
10715579,10XTO,Food Take Out,107 PRINCES BLVD
10441981,10tation Event Catering,Food Caterer,232 NORSEMAN ST
10773678,COTA HEALTH KITCHEN,Community Kitchen (Meal Program),11 MACEY AVE
10781442,11:59,Restaurant,"70 TEMPERANCE ST, Unit-1"
10589964,12 TABLES,Restaurant,1552 AVENUE RD
10770298,1265 BISTRO,Restaurant,"1265 MILITARY TRL, Flr-BASEMENT"
10812827,13 SUNS ETHIOPIAN VEGAN CUISINE INC,Restaurant,"74 HYMUS RD, Unit-4"
9348578,147 ELDER ST INC.,Retirement Homes(Licensed),147 ELDER ST
9013060,149 TYNDALL HOUSE,Boarding / Lodging Home - Kitchen,149 TYNDALL AVE
10742080,156 CUMBERLAND,Restaurant,156 CUMBERLAND ST
10790159,1611 STUDIOS,Food Take Out,1611 DUNDAS ST W
10764599,1688 DIM SUM,Food Processing Plant,"4227 SHEPPARD AVE E, Bldg-B1"
10814724,17 BALDWIN,Restaurant,17 BALDWIN ST
10776776,17 TILES,Food Store (Convenience/Variety),"556 YONGE ST, Bldg-FLOOR 2-3"
10553551,1775111 ONTARIO LIMITED,Bakery,2242 KINGSTON RD
10772399,18 FEET,Restaurant,364 HURON ST
10804478,18 FEET,Food Take Out,199 COLLEGE ST
10383994,18 SMOKE SHOP & VARIETY,Food Store (Convenience/Variety),222 SPADINA AVE
10767899,1800 BAR & LOUNGE TORONTO,Cocktail Bar / Beverage Room,"1800 DAVENPORT RD, Unit-4"
10464953,1810 DANFORTH AVENUE SOCIAL CLUB,Restaurant,1810 DANFORTH AVE
10767076,1858 BISTRO,Cafeteria - Private Access,8 ADELAIDE ST W
10764683,19 EATERY,Restaurant,19C FINCH AVE W
10806585,1910 LA MEXICANA,Restaurant,993.5 BLOOR ST W
10741800,1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE
10447525,19TH HOLE GRILL,Restaurant,550 CENTENNIAL PARK BLVD
10318628,19TH HOLE SPORTS BAR AND GRILL,Restaurant,434 ROGERS RD
10495816,2 4 1 Pizza,Food Take Out,1383 DAVENPORT RD
10754807,2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W
10752269,2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W
9000031,2-4-1 PIZZA,Food Take Out,759 JANE ST
9000046,2-4-1 PIZZA,Food Take Out,"1468 QUEEN ST W, Unit-2"
9016832,2-4-1 PIZZA,Food Take Out,2291 KIPLING AVE
9043776,2-4-1 PIZZA,Food Take Out,3815 LAKE SHORE BLVD W
10284603,2-4-1 PIZZA,Food Take Out,1016 GERRARD ST E
10349645,2-4-1 PIZZA,Food Take Out,1756 LAWRENCE AVE E
10766596,2-4-1 PIZZA,Food Take Out,"2372 EGLINTON AVE E, Unit-1"
10775084,2-4-1 PIZZA,Food Take Out,2834 VICTORIA PARK AVE
10294608,2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W
10761328,21 SEVEN MARKET,Food Store (Convenience/Variety),1000 BLOOR ST W
10765264,225 MORNINGSIDE FOOD BANK,Food Bank,225 MORNINGSIDE AVE
10399648,2257029 ONTARIO INC.,Mobile Food Preparation Premises,235 QUEENS QUAY W
10559262,241 PIZZA,Food Take Out,142 PARLIAMENT ST
10587651,241 PIZZA,Restaurant,1349 ST CLAIR AVE W
10604803,241 PIZZA,Food Take Out,451 PARLIAMENT ST
10633698,241 PIZZA,Food Take Out,"1 YORK GATE BLVD, Unit-144A"
10677386,241 PIZZA,Food Take Out,1029 PAPE AVE
10681139,241 PIZZA,Food Take Out,"235 DIXON RD, Unit-8"
10788511,241 PIZZA,Food Take Out,"8 GREYSTONE WALK DR, Unit-C1E"
10405652,244 PIZZA & WINGS,Food Take Out,1166 WESTON RD
10656552,24SEVEN LOUNGE,Restaurant,106 HUMBER COLLEGE BLVD
10600496,3 EGGS ALL DAY PUB & GRILL,Restaurant,936 EGLINTON AVE W
10794907,3 ELEVEN INDIAN BAR & KITCHEN,Restaurant,"1988 AVENUE RD, Flr-2"
10301731,3 JIT VARIETY,Food Store (Convenience/Variety),1452 BLOOR ST W
